STATE,REGION
AL,East
AR,East
AZ,West
CA,West
CO,West
CT,East
DE,East
FL,East
GA,East
IA,East
ID,West
IL,East
IN,East
KS,West
KY,East
LA,East
MA,East
MD,East
ME,East
MI,East
MN,East
MO,East
MS,East
MT,West
NC,East
ND,West
NE,West
NH,East
NJ,East
NM,West
NV,West
NY,East
OH,East
OK,West
OR,West
PA,East
RI,East
SC,East
SD,West
TN,East
TX,West
UT,West
VA,East
VT,East
WA,West
WI,East
WV,East
WY,West
