Year,Five-year SPEI value
1992,-1.19
1993,-0.52
1994,-0.81
1995,0.28
1996,0.36
1997,0.6
1998,0.96
1999,1.25
2000,0.67
2001,0.33
2002,-0.05
2003,-0.98
2004,-1.04
2005,-0.73
2006,-0.16
2007,-0.26
2008,-0.53
2009,-0.74
2010,-0.8
2011,-0.6
2012,-0.56
2013,-0.61
2014,-1.03
2015,-1.65
2016,-1.93
2017,-1.38
2018,-1.45
2019,-0.61
2020,-0.61
2021,-1.1
